Date,Close
1/2/2015 ,20
1/5/2015 ,20
1/6/2015 ,20
1/7/2015 ,10
1/8/2015 ,10
1/9/2015 ,10
1/12/2015 ,10
1/13/2015 ,10
1/14/2015 ,10
1/15/2015 ,10
1/16/2015 ,10
1/19/2015 ,10
1/20/2015 ,10
1/21/2015 ,10
1/22/2015 ,10
1/23/2015 ,10
1/26/2015 ,10
1/27/2015 ,10
1/28/2015 ,10
1/29/2015 ,10
1/30/2015 ,10
2/2/2015 ,10
2/3/2015 ,10
2/4/2015 ,10
2/5/2015 ,10
2/6/2015 ,10
2/9/2015 ,10
2/10/2015 ,10
2/11/2015 ,10
2/12/2015 ,10
2/13/2015 ,10
2/17/2015 ,10
2/18/2015 ,10
2/19/2015 ,10
2/20/2015 ,10
2/23/2015 ,10
2/25/2015 ,10
2/26/2015 ,10
2/27/2015 ,10
3/2/2015 ,10
3/3/2015 ,10
3/4/2015 ,10
3/5/2015 ,10
3/6/2015 ,10
3/9/2015 ,10
3/10/2015 ,10
3/11/2015 ,10
3/12/2015 ,10
3/13/2015 ,10
3/16/2015 ,10
3/17/2015 ,10
3/18/2015 ,10
3/19/2015 ,10
3/23/2015 ,10
3/24/2015 ,10
3/25/2015 ,10
3/26/2015 ,10
3/27/2015 ,10
3/30/2015 ,20
3/31/2015 ,20
4/1/2015 ,20
4/2/2015 ,10
4/6/2015 ,20
4/7/2015 ,10
4/8/2015 ,10
4/9/2015 ,20
4/10/2015 ,30
4/14/2015 ,20
4/15/2015 ,20
4/16/2015 ,20
4/17/2015 ,30
4/20/2015 ,20
4/21/2015 ,10
4/22/2015 ,10
4/23/2015 ,10
4/24/2015 ,10
4/27/2015 ,20
4/28/2015 ,10
4/29/2015 ,10
4/30/2015 ,10
5/1/2015 ,10
5/4/2015 ,20
5/5/2015 ,20
5/6/2015 ,20
5/7/2015 ,10
5/8/2015 ,10
5/11/2015 ,10
5/12/2015 ,20
5/13/2015 ,20
5/14/2015 ,10
5/15/2015 ,10
5/19/2015 ,9.5
5/20/2015 ,10
5/21/2015 ,10.2
5/22/2015 ,10.2
5/25/2015 ,10.97
5/26/2015 ,12
5/27/2015 ,12.77
5/28/2015 ,13.7
5/29/2015 ,14
6/1/2015 ,15.02
6/2/2015 ,17
6/3/2015 ,18
6/4/2015 ,17.5
6/5/2015 ,16.23
6/8/2015 ,16.5
6/9/2015 ,16.5
6/10/2015 ,17.21
6/11/2015 ,17.03
6/12/2015 ,16.5
6/15/2015 ,16.49
6/16/2015 ,16.05
6/17/2015 ,15.8
6/18/2015 ,15.8
6/19/2015 ,14.6
6/24/2015 ,15
6/26/2015 ,15
6/29/2015 ,15.5
7/7/2015 ,14.2
7/9/2015 ,13.9
7/10/2015 ,12.35
7/13/2015 ,12.5
7/14/2015 ,12.71
7/15/2015 ,12.72
7/20/2015 ,12.5
7/23/2015 ,12.6
7/27/2015 ,12.3
7/28/2015 ,12.25
7/30/2015 ,12.27
7/31/2015 ,12.31
8/5/2015 ,12.31
8/6/2015 ,12.25
8/7/2015 ,12.25
8/11/2015 ,12.25
8/12/2015 ,12
8/19/2015 ,12
8/20/2015 ,12
8/24/2015 ,11
8/25/2015 ,11
8/26/2015 ,9.5
8/27/2015 ,9.5
8/28/2015 ,9.86
8/31/2015 ,9.5
9/1/2015 ,8.75
9/2/2015 ,8.5
9/3/2015 ,9.5
9/4/2015 ,9.25
9/8/2015 ,9.2
9/9/2015 ,9.15
9/10/2015 ,9.5
9/11/2015 ,9.8
9/14/2015 ,10.4
9/15/2015 ,11.25
9/16/2015 ,11.25
9/17/2015 ,11.25
9/18/2015 ,11
9/21/2015 ,11.2
9/22/2015 ,11
9/23/2015 ,11.18
9/24/2015 ,11.16
9/25/2015 ,10.8
9/28/2015 ,10.6
9/29/2015 ,10.9
9/30/2015 ,10.89
10/1/2015 ,10.75
10/2/2015 ,10.3
10/5/2015 ,10.59
10/6/2015 ,10.6
10/7/2015 ,10.6
10/8/2015 ,10.6
10/9/2015 ,10.53
10/13/2015 ,10.62
10/14/2015 ,10.17
10/15/2015 ,9.96
10/16/2015 ,9.99
10/19/2015 ,9.86
10/20/2015 ,9.6
10/21/2015 ,9.43
10/22/2015 ,9.48
10/23/2015 ,9.77
10/26/2015 ,9.88
10/27/2015 ,9.9
10/28/2015 ,9.8
10/29/2015 ,9.75
10/30/2015 ,9.75
11/2/2015 ,9.6
11/3/2015 ,9.6
11/4/2015 ,9.5
11/5/2015 ,9.45
11/6/2015 ,9.45
11/9/2015 ,9.7
11/10/2015 ,9.68
11/11/2015 ,9.68
11/12/2015 ,9.6
11/13/2015 ,9.5
11/16/2015 ,9.58
11/18/2015 ,9.54
11/19/2015 ,9.35
11/20/2015 ,9.42
11/23/2015 ,9.5
11/24/2015 ,9.33
11/25/2015 ,9.35
11/26/2015 ,9.35
11/27/2015 ,9.44
11/30/2015 ,9.34
12/1/2015 ,9.39
12/2/2015 ,9.33
12/3/2015 ,9.35
12/4/2015 ,9.35
12/7/2015 ,8.57
12/9/2015 ,8.71
12/10/2015 ,9
12/11/2015 ,9.25
12/14/2015 ,9.26
12/15/2015 ,9.2
12/16/2015 ,9.15
12/17/2015 ,9.23
12/18/2015 ,9.29
12/21/2015 ,9.08
12/22/2015 ,9.09
12/23/2015 ,8.95
12/24/2015 ,8.87
12/29/2015 ,8.71
12/30/2015 ,8.31
