Date,Close
1/2/2015 ,49.85
1/5/2015 ,47.31
1/6/2015 ,46.5
1/7/2015 ,46.74
1/8/2015 ,47.78
1/9/2015 ,47.04
1/12/2015 ,45.55
1/13/2015 ,46.26
1/14/2015 ,46.32
1/15/2015 ,46.25
1/16/2015 ,48.19
1/20/2015 ,49.83
1/21/2015 ,58.47
1/22/2015 ,61.21
1/23/2015 ,62.49
1/26/2015 ,63.79
1/27/2015 ,64.88
1/28/2015 ,63.21
1/29/2015 ,63.4
1/30/2015 ,63.11
2/2/2015 ,63.01
2/3/2015 ,65.27
2/4/2015 ,64.1
2/5/2015 ,64.13
2/6/2015 ,63.48
2/9/2015 ,63.3
2/10/2015 ,64.85
2/11/2015 ,64.98
2/12/2015 ,65.25
2/13/2015 ,66.59
2/17/2015 ,67.14
2/18/2015 ,67.87
2/19/2015 ,67.8
2/20/2015 ,68.31
2/23/2015 ,67.41
2/24/2015 ,67.84
2/25/2015 ,68.33
2/26/2015 ,69
2/27/2015 ,67.84
3/2/2015 ,68.61
3/3/2015 ,67.82
3/4/2015 ,67.11
3/5/2015 ,66.81
3/6/2015 ,64.87
3/9/2015 ,63.66
3/10/2015 ,62.15
3/11/2015 ,62.88
3/12/2015 ,64.05
3/13/2015 ,62.63
3/16/2015 ,60.28
3/17/2015 ,59.79
3/18/2015 ,60.45
3/19/2015 ,60.74
3/20/2015 ,61.19
3/23/2015 ,60.71
3/24/2015 ,62.61
3/25/2015 ,60.25
3/26/2015 ,59.75
3/27/2015 ,59.25
3/30/2015 ,60.37
3/31/2015 ,59.53
4/1/2015 ,59.02
4/2/2015 ,59.15
4/6/2015 ,60.33
4/7/2015 ,60.49
4/8/2015 ,63.05
4/9/2015 ,62.79
4/10/2015 ,64.94
4/13/2015 ,67.81
4/14/2015 ,68.39
4/15/2015 ,67.92
4/16/2015 ,80.29
4/17/2015 ,81.65
4/20/2015 ,81.06
4/21/2015 ,80.06
4/22/2015 ,79.67
4/23/2015 ,79.87
4/24/2015 ,79.77
4/27/2015 ,80.87
4/28/2015 ,80.44
4/29/2015 ,80.41
4/30/2015 ,79.5
5/1/2015 ,79.58
5/4/2015 ,79.27
5/5/2015 ,80.79
5/6/2015 ,80.08
5/7/2015 ,80.75
5/8/2015 ,82.09
5/11/2015 ,84.28
5/12/2015 ,83.38
5/13/2015 ,82.87
5/14/2015 ,83.84
5/15/2015 ,87.61
5/18/2015 ,88.27
5/19/2015 ,88.07
5/20/2015 ,88.79
5/21/2015 ,89
5/22/2015 ,88.84
5/26/2015 ,87.99
5/27/2015 ,89.86
5/28/2015 ,89.51
5/29/2015 ,89.15
6/1/2015 ,89
6/2/2015 ,89.13
6/3/2015 ,88.81
6/4/2015 ,89.35
6/5/2015 ,90.46
6/8/2015 ,89.6
6/9/2015 ,92.45
6/10/2015 ,95.87
6/11/2015 ,95.09
6/12/2015 ,94.42
6/15/2015 ,93.43
6/16/2015 ,95.27
6/17/2015 ,94.27
6/18/2015 ,94.74
6/19/2015 ,93.87
6/22/2015 ,96.41
6/23/2015 ,97.31
6/24/2015 ,96.94
6/25/2015 ,94.89
6/26/2015 ,93.09
6/29/2015 ,92.23
6/30/2015 ,93.85
7/1/2015 ,93.64
7/2/2015 ,94.04
7/6/2015 ,94.57
7/7/2015 ,94.09
7/8/2015 ,93.51
7/9/2015 ,95.73
7/10/2015 ,97.23
7/13/2015 ,101.09
7/14/2015 ,100.37
